Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"18 Sep 2025"
"REACH SUBSEA";NO0003117202;REACH;"Oslo Børs";NOK;6.50;6.61;6.50;6.60;"17/09/2025 16:27";CET;182465;1199938.94;6.60;17/09/2025
"REC SILICON";NO0010112675;RECSI;"Oslo Børs";NOK;1.46;1.559;1.46;1.48;"17/09/2025 16:25";CET;152061;226648.02;1.48;17/09/2025
"ROGALAND SPAREBANK";NO0006001007;ROGS;"Oslo Børs";NOK;139.98;139.98;139.98;139.98;"17/09/2025 16:17";CET;1;139.98;139.98;17/09/2025
"S.D. STANDARD ETC";CY0101550917;SDSD;"Oslo Børs";NOK;1.83;1.855;1.83;1.855;"16/09/2025 16:12";CET;10023;18342.67;1.855;17/09/2025
"SAGA PURE";NO0010572589;SAGA;"Oslo Børs";NOK;1.355;1.355;1.35;1.35;"17/09/2025 16:25";CET;185058;249891.30;1.35;17/09/2025
SALMAR;NO0010310956;SALM;"Oslo Børs";NOK;556.50;564.50;553.50;563.00;"17/09/2025 16:25";CET;262499;147325547.50;563.00;17/09/2025
"SALMON EVOLUTION";NO0010892094;SALME;"Oslo Børs";NOK;5.32;5.32;5.18;5.18;"17/09/2025 16:25";CET;1130236;5909052.99;5.18;17/09/2025
SATS;NO0010863285;SATS;"Oslo Børs";NOK;40.20;40.35;39.50;39.90;"17/09/2025 16:25";CET;619754;24716553.95;39.90;17/09/2025
SCANA;NO0003053308;SCANA;"Oslo Børs";NOK;1.698;1.70;1.658;1.70;"17/09/2025 16:25";CET;131505;221803.05;1.70;17/09/2025
SCATEC;NO0010715139;SCATC;"Oslo Børs";NOK;101.60;103.10;100.30;102.30;"17/09/2025 16:25";CET;252061;25716008.20;102.30;17/09/2025
"Sea1 Offshore";KYG812291253;SEA1;"Oslo Børs";NOK;22.15;22.35;21.70;21.95;"17/09/2025 16:25";CET;395915;8694897.20;21.95;17/09/2025
"SED ENERGY HOLDING";CY0101162119;ENH;"Oslo Børs";NOK;8.76;8.90;8.66;8.90;"17/09/2025 16:25";CET;340311;2976722.78;8.90;17/09/2025
"SELVAAG BOLIG";NO0010612450;SBO;"Oslo Børs";NOK;35.85;36.70;35.85;36.70;"17/09/2025 16:25";CET;16477;600588.95;36.70;17/09/2025
SENTIA;NO0013573014;SNTIA;"Oslo Børs";NOK;67.47;67.47;65.60;66.75;"17/09/2025 16:25";CET;55893;3717782.25;66.75;17/09/2025
"SHELF DRILLING";KYG236271055;SHLF;"Oslo Børs";NOK;18.24;18.30;18.22;18.24;"17/09/2025 16:25";CET;624660;11403708.06;18.24;17/09/2025
"SKUE SPAREBANK";NO0006001809;SKUE;"Oslo Børs";NOK;330.00;330.00;320.05;327.85;"17/09/2025 16:07";CET;1345;437777.85;327.85;17/09/2025
SMARTCRAFT;NO0011008971;SMCRT;"Oslo Børs";NOK;27.30;29.00;26.90;29.00;"17/09/2025 16:25";CET;16864;467460.20;29.00;17/09/2025
"SMARTOPTICS GROUP";NO0011012502;SMOP;"Oslo Børs";NOK;23.00;24.80;22.90;24.50;"17/09/2025 16:25";CET;155130;3709588.90;24.50;17/09/2025
"SOFTWAREONE HOLD";CH0496451508;SWON;"Oslo Børs";NOK;101.56;102.00;100.26;100.72;"17/09/2025 16:25";CET;101135;10212759.12;100.72;17/09/2025
"SOGN SPAREBANK";NO0006000603;SOGN;"Oslo Børs";NOK;262.00;262.00;257.05;259.95;"17/09/2025 11:58";CET;186;48398.50;259.95;17/09/2025
"SOLSTAD MARITIME";NO0013135368;SOMA;"Oslo Børs";NOK;23.00;23.85;22.70;23.80;"17/09/2025 16:25";CET;392382;9209640.15;23.80;17/09/2025
"SOLSTAD OFFSHORE";NO0003080608;SOFF;"Oslo Børs";NOK;54.80;57.60;54.30;57.30;"17/09/2025 16:25";CET;215412;12125121.30;57.30;17/09/2025
"SPAREBANK 1 SMN";NO0006390301;MING;"Oslo Børs";NOK;193.68;193.78;191.90;192.82;"17/09/2025 16:25";CET;40411;7792264.94;192.82;17/09/2025
"SPAREBANK 1 SØR-N";NO0010631567;SB1NO;"Oslo Børs";NOK;179.60;179.80;177.60;178.20;"17/09/2025 16:25";CET;137473;24501176.80;178.20;17/09/2025
"SPAREBANKEN MØRE";NO0012483207;MORG;"Oslo Børs";NOK;106.52;107.96;106.52;107.96;"17/09/2025 16:25";CET;6505;698052.06;107.96;17/09/2025
"SPAREBANKEN NORGE";NO0006000900;SBNOR;"Oslo Børs";NOK;173.94;173.94;171.72;171.72;"17/09/2025 16:25";CET;138765;23909944.40;171.72;17/09/2025
"SPAREBANKEN ØST";NO0006222009;SPOG;"Oslo Børs";NOK;73.34;73.61;72.50;72.50;"17/09/2025 16:25";CET;15706;1147758.91;72.50;17/09/2025
"SPBK 1 NORDMØRE";NO0010691660;SNOR;"Oslo Børs";NOK;166.78;168.14;166.30;167.00;"17/09/2025 16:25";CET;7374;1228072.52;167.00;17/09/2025
"SPBK 1 ØSTLANDET";NO0010751910;SPOL;"Oslo Børs";NOK;190.20;190.20;187.88;187.94;"17/09/2025 16:25";CET;13320;2513063.62;187.94;17/09/2025
"SPBK1 HELGELAND";NO0010029804;HELG;"Oslo Børs";NOK;174.00;181.98;174.00;181.98;"17/09/2025 16:25";CET;2035;359411.54;181.98;17/09/2025
